recipe_slug	rating
falafel	0.25
spamburger	1.0
bacon-fried-rice	1.0
chicken-fingers	1.0
apple-crisp	1.0
cranberry-apple-crisp	1.0
bacon-chocolate-chip-cookies	1.0
sujebi	0.5
pasta-primavera	0.0
ramen	1.0
brownies	1.0
bacon-wrapped-scallops	1.0
bacon-egg-muffins	1.0
breakfast-burritos	0.75
bolognese-sauce	0.75
croissants	0.0
bacon-souffle	0.0
souffle	0.0
chocolate-souffle	0.0
butter-croissants	0.0
pickled-green-beans	0.5
fried-oysters	1.0
peanut-butter-brownies	1.0
almond-chip-cookies	1.0
guacamole	0.75
brioche-bread	0.5
brioche-bread-with-chocolate	0.5
asparagus-quiche	0.25
asparagus-burger	1.0
ma-la-chicken	1.0
cold-noodles-with-tomatoes	0.25
tamales	0.5
enchiladas	0.75
tacos	0.25
burritos	0.75
peanut-butter-cupcakes	0.75
pickled-asparagus	0.5
chocolate-peanut-butter-cake	0.25
udon	0.5
vegetable-lasagna	1.0
maple-bacon-donuts	1.0
maple-bacon-pancakes	1.0
spinach-and-ricotta-stuffed-shells	0.25
quesadillas	0.25
pico-de-gallo	0.5
nachos	0.5
cold-soba-noodles-with-tomato-and-cucumber	0.5
fajitas	0.25
loaded-nachos	0.5
lasagna	1.0
chicken-nuggets	1.0
pain-au-chocolat	0.75
nacho-dip	0.25
nacho-salad	0.0
nacho-casserole	0.25
nacho-fries	0.25
tempura-udon	0.75
peach-crisp	1.0
apple-pie	0.25
blueberry-crisp	1.0
berry-crumble	0.5
strawberry-rhubarb-crisp	1.0
peach-cobbler	0.75
cranberry-sauce	0.25
cherry-cobbler	0.75
apple-crumble	0.75
chocolate-croissants	0.0
french-toast	0.25
chocolate-babka	0.5
cinnamon-babka	0.25
blueberry-crumble	0.75
spam-musubi	0.75
taco-salad	0.0
chiles-rellenos	0.5
almond-croissants	0.0
cranberry-relish	0.5
ma-la-beef	0.25
chocolate-cake	0.5
spinach-quiche	0.25
mushroom-quiche	0.5
quiche-lorraine	0.5
croissant-aux-amandes	0.0
danishes	0.25
spinach-and-feta-quiche	0.75
cold-sesame-noodles	0.25
soba-noodle-salad-with-peanut-dressing	0.0
dan-dan-noodles	0.5
vanilla-souffle	0.5
bacon-wrapped-dates	1.0
cherry-pie	0.5
berry-crisp	1.0
bacon-and-egg-breakfast-sandwich	1.0
bacon-wrapped-shrimp-skewers	1.0
bacon-wrapped-chicken	1.0
bacon-wrapped-asparagus	1.0
bacon-mac-and-cheese	1.0
chicken-alfredo-lasagna	1.0
classic-beef-lasagna	1.0
vegetarian-mushroom-lasagna	1.0
spinach-and-ricotta-lasagna	1.0
